date,open,high,low,close,volume
1995-01-03,4.978150612669564,5.060889958032493,4.978150612669564,5.047100067138672,1515600
1995-01-04,5.0333104159450786,5.102259873697751,5.0333104159450786,5.088469982147217,1536800
1995-01-05,5.102261535583004,5.143631223709352,5.088471639540888,5.129841327667236,1242800
1995-01-06,5.116050720214844,5.157420402588549,5.088470931965707,5.116050720214844,1721200
1995-01-09,5.1022608260902755,5.129840614339412,5.088470931965707,5.116050720214844,1092000
1995-01-10,5.102262218687832,5.212581401794596,5.102262218687832,5.19879150390625,2662000
1995-01-11,5.212580703919934,5.2953200801726314,5.0195221593303065,5.129841327667236,4369200
1995-01-12,5.129840614339412,5.143630508463981,5.074681037841139,5.116050720214844,1947600
1995-01-13,5.157420379997233,5.29531932063887,5.14363048593307,5.281529426574707,3228000
1995-01-16,5.281527769934271,5.391846887844125,5.226368210979343,5.35047721862793,3696800
1995-01-17,5.157422789300095,5.212582391324696,5.088473286769346,5.143632888793945,8594400
1995-01-18,5.143632888793945,5.157422789300095,5.088473286769346,5.143632888793945,3576800
1995-01-19,5.1160500049591064,5.129839897155762,5.074680328369141,5.074680328369141,2386000
1995-01-20,5.074678654891593,5.074678654891593,4.991939328996621,5.060888767242432,1899600
1995-01-23,4.991941449406383,5.033311129926325,4.922991981873145,5.019521236419678,4550000
1995-01-24,5.047100067138672,5.074679848926315,5.03331017624485,5.047100067138672,3313600
1995-01-25,5.047103585250896,5.212582391324696,5.019523784238595,5.143632888793945,2540000
1995-01-26,5.171211708129559,5.212581401794596,5.143631912352868,5.19879150390625,2215600
1995-01-27,5.226370811462402,5.295320294463226,5.2125809148622375,5.226370811462402,2300000
1995-01-30,5.240159034729004,5.253948926925659,5.088470220565796,5.184999465942383,1823600
1995-01-31,5.157422789300095,5.226372291830845,5.129842988287796,5.143632888793945,3173600
1995-02-01,5.157419439899889,5.171209331450424,5.074680090596682,5.088469982147217,2878800
1995-02-02,5.074681743498771,5.171211015793585,5.074681743498771,5.129841327667236,2993600
1995-02-03,5.240155799048288,5.419424286910465,5.2125760316848755,5.40563440322876,5435600
1995-02-06,5.378060507358161,5.557329190936766,5.350480709884529,5.529749393463135,4440800
1995-02-07,5.543535694931493,5.6262750336618135,5.460796356201172,5.460796356201172,4282800
1995-02-08,5.474590055906592,5.515959754062058,5.447010257136283,5.488379955291748,1518000
1995-02-09,5.460793937955583,5.502163589000702,5.378054635865348,5.40563440322876,1314400
1995-02-10,5.405638936230593,5.433218726721566,5.378059145739621,5.391849040985107,2084800
1995-02-13,5.405637978900783,5.474587442917375,5.405637978900783,5.419427871704102,1925600
1995-02-14,5.447005282721531,5.488374943096632,5.447005282721531,5.474585056304932,2392800
1995-02-15,5.502167933022798,5.571117405867695,5.419428565608921,5.543537616729736,2656000
1995-02-16,5.543537616729736,5.571117405867695,5.5159578275917776,5.543537616729736,1702400
1995-02-17,5.5573294377326965,5.571119337081909,5.488379940986634,5.515959739685059,2651200
1995-02-21,5.515954716680032,5.557324377055132,5.460795169513232,5.474585056304932,1732000
1995-02-22,5.460795211791992,5.626273854573568,5.447005324893528,5.584904193878174,2954800
1995-02-23,5.640066145690398,5.695225716797395,5.598696467360151,5.6676459312438965,4304800
1995-02-24,5.653856040804626,5.653856040804626,5.5573267913274735,5.612486362457275,2324400
1995-02-27,5.626411023139954,5.640337783098221,5.556777223348618,5.570703983306885,1246400
1995-02-28,5.570707584084723,5.598561122005147,5.515000508243876,5.556780815124512,2692800
1995-03-01,5.570706234702581,5.598559765876094,5.4871456411820425,5.501072406768799,3410800
1995-03-02,5.528923703432083,5.584630743265152,5.501070183515549,5.570703983306885,4144000
1995-03-03,5.542853050992971,5.5846333503723145,5.542853050992971,5.5846333503723145,2816800
1995-03-06,5.556779644597116,5.556779644597116,5.501072580490879,5.542852878570557,1854800
1995-03-07,5.515000223808581,5.528926992050522,5.4035860778730544,5.445366382598877,3124800
1995-03-08,5.45928955078125,5.48714306889748,5.445362791723134,5.45928955078125,1632400
1995-03-09,5.4871466873246995,5.4871466873246995,5.4035860778730544,5.445366382598877,2731600
1995-03-10,5.47321909124201,5.528926155783914,5.403585260564631,5.5149993896484375,3869200
1995-03-13,5.5149993896484375,5.528926155783914,5.431438792835583,5.5149993896484375,2263200
1995-03-14,5.542853050992971,5.598560116832096,5.528926284533189,5.5846333503723145,2367600
1995-03-15,5.570703983306885,5.6124842631816865,5.528923703432083,5.570703983306885,2254800
1995-03-16,5.54285394938353,5.640341330402838,5.515000411949441,5.61248779296875,2951200
1995-03-17,5.598561122005147,5.598561122005147,5.5428540461643,5.556780815124512,2712400
1995-03-20,5.584631323209269,5.584631323209269,5.473217231973174,5.4871439933776855,3736800
1995-03-21,5.473219047221103,5.487145813244566,5.389658451080322,5.389658451080322,2590000
1995-03-22,5.445366382598877,5.445366382598877,5.389659309631114,5.445366382598877,2894000
1995-03-23,5.445364912047641,5.487145205490462,5.4314381475667,5.4732184410095215,2868400
1995-03-24,5.473219919082759,5.4871466873246995,5.431439614356936,5.445366382598877,1697600
1995-03-27,5.473219048437761,5.542852878570557,5.459292282411202,5.542852878570557,2149600
1995-03-28,5.542853265259396,5.598560333251953,5.542853265259396,5.598560333251953,1926000
1995-03-29,5.598560928419708,5.76568215016358,5.584634159941052,5.668194770812988,4323600
1995-03-30,5.696044220643885,5.723897737615249,5.626410428215475,5.682117462158203,4588400
1995-03-31,5.654268741607666,5.668195511907193,5.612488430709088,5.654268741607666,3443200
1995-04-03,5.654268528502665,5.6960488378265755,5.626414988953391,5.640341758728027,3610800
1995-04-04,5.626414988953391,5.654268528502665,5.612488219178753,5.640341758728027,2909200
1995-04-05,5.654266494324028,5.723900318145752,5.626412964795338,5.723900318145752,2424000
1995-04-06,5.751757917654543,5.863172114606689,5.751757917654543,5.835318565368652,5396800
1995-04-07,5.835315871577692,5.91887648071723,5.8074623351978465,5.877096176147461,3714000
1995-04-10,5.8631696216321725,5.8910231590271,5.849242852934709,5.8910231590271,3591600
1995-04-11,5.877096176147461,5.904949712527307,5.849242639767615,5.877096176147461,4205600
1995-04-12,5.849242302087637,5.86316906947356,5.793535232543945,5.793535232543945,2385200
1995-04-13,5.821387850719949,5.849241381106169,5.73782725956129,5.76568078994751,3222800
1995-04-17,5.765678013072295,5.765678013072295,5.640337186701157,5.682117462158203,3924800
1995-04-18,5.696048405271014,5.709975173988059,5.61248779296875,5.61248779296875,2216800
1995-04-19,5.64034106707809,5.654267835144949,5.612487530944371,5.6264142990112305,2197600
1995-04-20,5.598559942676793,5.6124867087033525,5.5289261125439975,5.542852878570557,3873200
1995-04-21,5.570703983306885,5.59855750322342,5.542850463390351,5.570703983306885,5873200
1995-04-24,5.570706583912533,5.626413649751658,5.542853050992971,5.5846333503723145,3736800
1995-04-25,5.570708119810509,5.696049052506245,5.570708119810509,5.654268741607666,4358000
1995-04-26,5.668194770812988,5.682121539291644,5.62641446537702,5.668194770812988,1172400
1995-04-27,5.682121539291644,5.716938460488284,5.654268002334332,5.668194770812988,1869200
1995-04-28,5.654264543056488,5.654264543056488,5.556777223348618,5.570703983306885,1677600
1995-05-01,5.570706410623675,5.570706410623675,5.5289261125439975,5.542852878570557,3308000
1995-05-02,5.528923703432083,5.59855750322342,5.528923703432083,5.570703983306885,2798400
1995-05-03,5.584633994810652,5.6264142990112305,5.570707226743792,5.6264142990112305,2540400
1995-05-04,5.682120239850387,5.821387892787897,5.668193474556635,5.737827301025391,4009200
1995-05-05,5.821389103387769,5.877096176147461,5.8074623351978465,5.877096176147461,3058000
1995-05-08,5.821388244628906,5.988509438254617,5.821388244628906,5.974582672119141,3611600
1995-05-09,6.002436547991873,6.085997149588048,6.002436547991873,6.058143615722656,6028400
1995-05-10,6.099923916520743,6.099923916520743,6.016363314924568,6.058143615722656,2469600
1995-05-11,6.072068804363871,6.072068804363871,5.974581461174544,5.988508224487305,2301600
1995-05-12,5.960657495039481,6.030291344280596,5.946730725191258,6.016364574432373,1922000
1995-05-15,6.016360880302134,6.1138482093811035,5.974580596411147,6.1138482093811035,2737600
