date,open,high,low,close,volume
1998-12-22,5.877264183543095,5.877264183543095,5.7952985763549805,5.7952985763549805,15800
1998-12-23,5.7892264894250305,5.7892264894250305,5.758868722677014,5.771011829376221,48200
1998-12-24,5.871193421773674,5.889408085957046,5.859050312318092,5.877264976501465,47600
1998-12-28,5.865122281130972,5.877265391443872,5.837800653505264,5.846907615661621,6200
1998-12-29,5.8711930899381395,5.959230999093559,5.8711930899381395,5.944051742553711,24000
1998-12-30,5.974406025313939,5.989585272988827,5.8954758644104,5.8954758644104,140800
1998-12-31,5.874228000640869,5.874228000640869,5.834762534873625,5.874228000640869,43200
1999-01-04,5.831727517680573,5.877263798433192,5.75583272821763,5.780118942260742,218600
1999-01-05,5.8256550434572985,5.849941253662109,5.801368833252487,5.849941253662109,222400
1999-01-06,5.868154639854936,5.928870152211654,5.868154639854936,5.910655498504639,82000
1999-01-07,5.910659402347988,5.971374954805817,5.877265477917859,5.889408588409424,444600
1999-01-08,5.907617957979347,5.928868752866616,5.849938605432153,5.922797203063965,271800
1999-01-11,5.889406247491018,5.889406247491018,5.743688979511859,5.764939785003662,258000
1999-01-12,5.758870275799143,5.852979007520174,5.737619462766146,5.767977237701416,14200
1999-01-13,5.731549269661599,5.849944990619656,5.731549269661599,5.807444095611572,51800
1999-01-14,5.725475144545583,5.783155275328672,5.682974268605159,5.710296630859375,40000
1999-01-15,5.731546892438616,5.789227025175933,5.716368378238154,5.737618446350098,13800
1999-01-19,5.9136915675449275,5.931906223297119,5.828689840701366,5.931906223297119,24400
1999-01-20,5.937977712421476,5.971371618192146,5.883333745742751,5.907619953155518,65400
1999-01-21,5.9501211090562505,5.9501211090562505,5.8863701820373535,5.8863701820373535,41000
1999-01-22,5.846906833472799,5.968337920356969,5.822620616095965,5.92583703994751,41600
1999-01-25,5.925837888556633,5.925837888556633,5.704226493835449,5.704226493835449,27200
1999-01-26,5.767978755815542,5.816551208496094,5.679941555910446,5.816551208496094,30400
1999-01-27,5.801370944266273,5.801370944266273,5.728512287139893,5.728512287139893,15600
1999-01-28,5.743690000261579,5.816548647199358,5.737618446350098,5.737618446350098,35200
1999-01-29,5.737619248702397,5.761905467744524,5.673868294295108,5.728512287139893,79600
1999-02-01,5.761904000084405,5.761904000084405,5.682973808302427,5.716367721557617,24400
1999-02-02,5.643509036106509,5.6556521424336275,5.567614250983823,5.640472888946533,55400
1999-02-03,5.6101147224867365,5.6769018025163405,5.6101147224867365,5.670830249786377,65000
1999-02-04,5.661723564493181,5.661723564493181,5.58582878112793,5.58582878112793,36400
1999-02-05,5.607080897149683,5.63743866935635,5.588866233825684,5.588866233825684,16200
1999-02-08,5.591901640468076,5.628330967116076,5.5797585315854095,5.588866233825684,26600
1999-02-09,5.6010065401377025,5.664757459294439,5.588863437331069,5.613149642944336,24400
1999-02-10,5.6131544725734885,5.631369142455571,5.570653576181963,5.573688983917236,16000
1999-02-11,5.588863529010979,5.628328243201829,5.5706488745022344,5.597970485687256,8800
1999-02-12,5.625296001993304,5.625296001993304,5.482614090844841,5.506900310516357,206000
1999-02-16,5.579757621648974,5.607079982757568,5.564579108599197,5.607079982757568,118600
1999-02-17,5.591901727175115,5.682975045207282,5.567615509033203,5.567615509033203,114800
1999-02-18,5.59190086750746,5.743689707559238,5.567614653099176,5.667795658111572,28000
1999-02-19,5.6374377500135475,5.664759369965715,5.585829175100169,5.607079982757568,19200
1999-02-22,5.628330923626365,5.789227485656738,5.628330923626365,5.789227485656738,13800
1999-02-23,5.737618011380065,5.737618011380065,5.585829175100169,5.607079982757568,30200
1999-02-24,5.62529441947692,5.743689336490221,5.62529441947692,5.658687591552734,132000
1999-02-25,5.62225943385509,5.628330988319297,5.512971453499375,5.537257671356201,47200
1999-02-26,5.576720221476771,5.576720221476771,5.491718503553438,5.570648670196533,22800
1999-03-01,5.525113977162184,5.525113977162184,5.4552914787982605,5.48868465423584,16800
1999-03-02,5.525114140189485,5.540293395768253,5.406719207763672,5.406719207763672,20600
1999-03-03,5.409754276275635,5.443148191769141,5.409754276275635,5.409754276275635,9400
1999-03-04,5.455291492414103,5.49475622177124,5.440112237245338,5.49475622177124,11400
1999-03-05,5.585830086026743,5.597973194909409,5.522079134971015,5.588866233825684,42000
1999-03-08,5.564577129235265,5.564577129235265,5.497790065028796,5.525111675262451,78200
1999-03-09,5.531184489146874,5.552435294096076,5.476540515049924,5.509934425354004,11600
1999-03-10,5.4856495990495695,5.512971222414996,5.482613451366456,5.491721153259277,68000
1999-03-11,5.49779232643646,5.567614824430693,5.48261307138595,5.534221649169922,19200
1999-03-12,5.613150551169589,5.619222103555302,5.567613537698595,5.594935894012451,15600
1999-03-15,5.619222273865131,5.634400784711302,5.585828364153445,5.610114574432373,31800
1999-03-16,5.591901640468076,5.619224006032351,5.558508461619017,5.588866233825684,20200
1999-03-17,5.601009363808643,5.613152472737056,5.537257671356201,5.537257671356201,24200
