date,open,high,low,close,volume
1995-01-03,1.4625832227327686,1.4730300852047502,1.457359552383423,1.4573595523834229,513600
1995-01-04,1.4625835418701172,1.4625835418701172,1.4521361988918042,1.4625835418701172,1683600
1995-01-05,1.4625835418701172,1.4678067351324597,1.4521361988918042,1.4625835418701172,1407600
1995-01-06,1.4678063135515533,1.5043710470199585,1.4678063135515533,1.5043710470199585,436800
1995-01-09,1.5043717209936982,1.5357127985144003,1.5043717209936982,1.5252659320831299,1171200
1995-01-10,1.5304891261853195,1.540936470843481,1.5252659320831299,1.5252659320831299,531600
1995-01-11,1.5252666216903155,1.5304898181540292,1.4991487264633179,1.4991487264633179,912000
1995-01-12,1.499147529758054,1.499147529758054,1.4782538041275508,1.483476996421814,969600
1995-01-13,1.4887007994858819,1.546159267425537,1.4834771284998158,1.546159267425537,1015200
1995-01-16,1.540936742689555,1.5670541524887085,1.5200425279140473,1.5670541524887085,481200
1995-01-17,1.567054105051235,1.6036188602447508,1.567054105051235,1.603618860244751,1698000
1995-01-18,1.5983951871522597,1.6140657282027722,1.5827246461017475,1.603618860244751,1244400
1995-01-19,1.5983947087011285,1.5983947087011285,1.5722773075103762,1.572277307510376,213600
1995-01-20,1.5775006607509567,1.5879480048679397,1.5513832569122314,1.5827243328094482,493200
1995-01-23,1.5670535979546147,1.582724133934161,1.5461593905729514,1.5775004625320435,475200
1995-01-24,1.5775010207629747,1.5879483672642163,1.5618304792380877,1.5670541524887085,446400
1995-01-25,1.5566065664771318,1.5566065664771318,1.5357123613357542,1.5357123613357544,650400
1995-01-26,1.5409360321777874,1.5461592247930656,1.5304886904937212,1.5357123613357544,357600
1995-01-27,1.5461598909082317,1.6140657282027722,1.5461598909082317,1.603618860244751,3595200
1995-01-30,1.6140650933197702,1.6297356282063697,1.6088414222819793,1.624511957168579,1183200
1995-01-31,1.624511803814745,1.6454060077667236,1.619288611496796,1.6454060077667236,1544400
1995-02-01,1.645406919859568,1.6715243306070715,1.6297363777656673,1.6506305932998657,2401200
1995-02-02,1.6506299571808805,1.6506299571808805,1.6297357496988818,1.640182614326477,1749600
1995-02-03,1.6401827357372736,1.7133122282241091,1.634959542150245,1.6871943473815918,3146400
1995-02-06,1.6819703659687248,1.70286408698402,1.6819703659687248,1.6976408958435059,1522800
1995-02-07,1.702864480075341,1.702864480075341,1.6715234130909682,1.6767470836639404,607200
1995-02-08,1.6715227365493774,1.6715227365493774,1.661075877858484,1.6715227365493774,1345200
1995-02-09,1.6715234130909682,1.6767470836639402,1.6558528795987817,1.6767470836639404,819600
1995-02-10,1.6767470836639402,1.6767470836639402,1.6663002207447262,1.6767470836639404,488400
1995-02-13,1.6767473198332878,1.6767473198332878,1.6558531128251865,1.6610767841339111,393600
1995-02-14,1.661076415043611,1.661076415043611,1.629735350608826,1.6297353506088257,3660000
1995-02-15,1.6297363777656673,1.6506305932998657,1.6140658356717665,1.6506305932998657,1467600
1995-02-16,1.6454062857536786,1.6454062857536786,1.6297357496988818,1.640182614326477,236400
1995-02-17,1.6454062484345346,1.6610767841339114,1.6297357127351582,1.6610767841339111,706800
1995-02-21,1.6401824920551789,1.6401824920551789,1.6192887643575609,1.624511957168579,2996400
1995-02-22,1.6192888415749727,1.6245120346350639,1.598394634654221,1.614065170288086,320400
1995-02-23,1.619288611496796,1.6454060077667236,1.619288611496796,1.6454060077667236,343200
1995-02-24,1.640182337222047,1.6454060077667236,1.6297354743594215,1.6454060077667236,412800
1995-02-27,1.6506301160774073,1.6506301160774073,1.6245122346539909,1.6349595785140991,579600
1995-02-28,1.6349592992441606,1.6401824920551789,1.6088414222819793,1.624511957168579,1491600
1995-03-01,1.6192882813420704,1.6297351420746984,1.6036177511298138,1.6088409423828125,508800
1995-03-02,1.6036188602447508,1.6192894012952632,1.5879483191942385,1.603618860244751,5542800
1995-03-03,1.603618030783306,1.6192885637283327,1.5931706900021458,1.6192885637283325,811200
1995-03-06,1.6111274538112204,1.6372824421315413,1.6111274538112204,1.6320513486862183,859200
1995-03-07,1.6320514473205805,1.6425131559371946,1.6215897387039664,1.6425131559371948,582000
1995-03-08,1.6425133183654572,1.6425133183654572,1.6163588047843387,1.6215898990631104,727200
1995-03-09,1.616358995437622,1.6215900903334133,1.616358995437622,1.616358995437622,262800
1995-03-10,1.6215913537313373,1.6529769897460938,1.6215913537313373,1.6529769897460938,1159200
1995-03-13,1.6582076098106866,1.6686698077534718,1.6529769897460938,1.6529769897460938,555600
1995-03-14,1.6634370571244526,1.684360953327497,1.6582059633471102,1.6686681509017944,2096400
1995-03-15,1.6686689190723494,1.6686689190723494,1.642513917051526,1.6477450132369995,553200
1995-03-16,1.6477450132369995,1.652976109422473,1.642513917051526,1.6477450132369995,367200
