date,open,high,low,close,volume
1995-01-03,2.9174156554423982,2.948898558198971,2.8649441508481104,2.8754384517669678,1952000
1995-01-04,2.8649432898454066,2.875437587610408,2.791483205490396,2.8229660987854004,4564000
1995-01-05,2.8439546943154035,2.8439546943154035,2.812471801020399,2.8229660987854004,3260000
1995-01-06,2.8229659907380293,2.843954585464706,2.791483098648014,2.8019773960113525,3243200
1995-01-09,2.8019780787154756,2.8439552783966064,2.791483778795193,2.8439552783966064,3372800
1995-01-10,2.8582459449768063,2.9633285164833065,2.8582459449768063,2.942312002182007,6804000
1995-01-11,3.005363307564946,3.1209542040097515,2.9948550442517816,3.099937677383423,7696000
1995-01-12,3.0684111533311444,3.09993592545441,3.057902895956723,3.0789194107055664,1704000
1995-01-13,3.131461100889645,3.1419693596174625,3.057903289794922,3.057903289794922,2178400
1995-01-16,3.0894275963908493,3.131460624913174,3.0894275963908493,3.1209523677825928,2211200
1995-01-17,3.110444978226063,3.184002798657085,3.110444978226063,3.1629862785339355,2523200
1995-01-18,3.1524780184723613,3.2155275788418085,3.110444978226063,3.1629862785339355,6968800
1995-01-19,3.15247761834528,3.1629858770730976,3.057903289794922,3.057903289794922,2061600
1995-01-20,3.089427668079988,3.1104441828288314,3.057902895956723,3.0789194107055664,2555200
1995-01-23,3.047394994142893,3.1104445457458496,3.0158702183414148,3.1104445457458496,2689600
1995-01-24,3.0999358535214308,3.131460624913174,3.0999358535214308,3.1209523677825928,1599200
1995-01-25,3.1104440815401397,3.173493623733521,3.1104440815401397,3.1734936237335205,1252800
1995-01-26,3.1734939373579603,3.184002195428682,3.1314609050750737,3.1314609050750732,1308800
1995-01-27,3.1419688526368303,3.184001880765751,3.1419688526368303,3.1734936237335205,1607200
1995-01-30,3.184002798657085,3.184002798657085,3.1524780184723613,3.1629862785339355,960000
1995-01-31,3.1629862444741383,3.1734945044225573,3.078920164886786,3.089428424835205,978400
1995-02-01,3.1104440815401397,3.173493623733521,3.0999358245079094,3.1734936237335205,1804800
1995-02-02,3.1840035350291758,3.257561372472094,3.1840035350291758,3.2365448474884033,3875200
1995-02-03,3.236544847488403,3.2680696349639393,3.1734952725373304,3.2365448474884033,3077600
1995-02-06,3.215526538598733,3.236543051922908,3.194510025274558,3.2050182819366455,4276800
1995-02-07,3.2050182819366455,3.215526538598733,3.162985255288296,3.2050182819366455,3396000
1995-02-08,3.2050203661764822,3.268069947150446,3.2050203661764822,3.257561683654785,2008800
1995-02-09,3.2365441778705457,3.2365441778705457,3.184002876281738,3.1840028762817383,2899200
1995-02-10,3.1945095934899026,3.2260343592151317,3.1629848277646735,3.2155261039733887,2804800
1995-02-13,3.194510453499404,3.2050187115701254,3.120952647004352,3.1314609050750732,4556000
1995-02-14,3.110444539029833,3.1209527976076368,2.9633289189405843,2.9843454360961914,13580800
1995-02-15,2.973838975860013,3.0263803005218506,2.9107893862658076,3.0263803005218506,13719200
1995-02-16,3.0263784704074053,3.0263784704074053,2.9843454360961914,2.9843454360961914,5266400
1995-02-17,2.9843475490071327,2.9948558150247635,2.9633310169718716,2.973839282989502,2585600
1995-02-21,2.9423135259877085,3.005363101544588,2.889772213023642,2.900280475616455,7689600
1995-02-22,2.910787201764291,3.005361515179015,2.9002789447182105,2.9948532581329346,5244000
1995-02-23,3.015870411915763,3.068411708290602,2.9843456340908596,3.0368869304656982,4021600
1995-02-24,3.047396073357984,3.047396073357984,2.994854761748364,3.015871286392212,1764000
1995-02-27,3.026378059387207,3.036886316537857,2.9212954878807067,2.942312002182007,3700000
