generation,champion_hash_before,champion_hash_after,promoted,n_candidates,candidates,gates_failed,ledger_drift,complete,data_hash,panel_hash,config_hash,platform
1,,,0,2,9353d613c7d3:0:G2+G4+G8;35d85a0408d2:0:G2+G4+G8,G2+G4+G8,35d85a0408d2:c8b7f490b91efedc|dc1e8bed731b9232|6c8ac09323e93676;9353d613c7d3:c8b7f490b91efedc|dc1e8bed731b9232|6c8ac09323e93676,1,77d8d9caea8a4ec0,586c15467c68bf0f,1434ad9ce10cb1f6,x86_64darwin
14,,,0,2,18beaccc7ce0:0:G2+G4;487279b1d7ad:0:G2+G4,G2+G4,,1,d3fdf1e8706240f5,d9088aa5ba5177b8,08e08b3bdbf78812,x86_64linux
28,,,0,2,9fa82dc74340:0:G2+G4+G10;c17f77b7d09d:0:G2+G4+G10,G2+G4+G10,,1,cd9e0258afdb6e0b,b10d592e8cd8d916,08e08b3bdbf78812,x86_64linux
